L1FLI_10p11.22::chr10:33509832-33517879(-)	369
L1FLI_10p12.31::chr10:19087567-19095620(-)	367
L1FLI_10p15.1::chr10:5244352-5252399(+)	376
L1FLI_10q24.2::chr10:98781926-98789973(-)	391
L1FLI_10q25.1a::chr10:106843565-106851614(-)	163
L1FLI_10q25.1b::chr10:109811408-109819459(-)	414
L1FLI_11p14.3::chr11:24326949-24334995(+)	406
L1FLI_11q12.2::chr11:60531157-60539204(+)	373
L1FLI_11q14.1::chr11:78676759-78684806(-)	441
L1FLI_11q14.3::chr11:90399050-90407101(-)	370
L1FLI_11q21a::chr11:93135637-93143687(+)	387
L1FLI_11q21b::chr11:93419971-93428022(+)	395
L1FLI_11q21c::chr11:95435214-95443260(+)	403
L1FLI_11q22.3::chr11:109176481-109184528(-)	415
L1FLI_12q13.2::chr12:54787569-54795619(+)	362
L1FLI_12q22::chr12:92312990-92321037(+)	440
L1FLI_12q24.32::chr12:126297996-126306043(-)	433
L1FLI_13q12.3::chr13:29640693-29648739(-)	440
L1FLI_14q23.2::chr14:63115693-63123738(-)	411
L1FLI_14q24.2::chr14:70546288-70554336(+)	424
L1FLI_15q21.3::chr15:54925054-54933102(-)	452
L1FLI_15q23a::chr15:70728652-70736174(+)	501
L1FLI_15q23b::chr15:71173133-71181170(+)	376
L1FLI_15q25.3::chr15:87508887-87516934(+)	392
L1FLI_16p11.2::chr16:33951564-33959614(-)	404
L1FLI_16p12.3a::chr16:16839523-16847570(-)	428
L1FLI_16p12.3b::chr16:18820240-18828286(-)	433
L1FLI_16p13.2::chr16:9583477-9591524(-)	419
L1FLI_16q23.3::chr16:83636249-83644311(+)	379
L1FLI_17p13.1::chr17:9614984-9623031(+)	407
L1FLI_18q11.2::chr18:24618029-24626075(-)	203
L1FLI_18q12.2::chr18:37818736-37826785(+)	415
L1FLI_18q21.1::chr18:50342942-50350991(-)	394
L1FLI_18q21.32::chr18:59402926-59410973(-)	474
L1FLI_18q22.2::chr18:70745536-70753583(-)	432
L1FLI_1p12::chr1:118851349-118859396(+)	403
L1FLI_1p13.2::chr1:113496198-113504246(+)	404
L1FLI_1p22.3::chr1:86678067-86686114(-)	422
L1FLI_1p31.1a::chr1:71512709-71520756(+)	420
L1FLI_1p31.1b::chr1:71887202-71895252(+)	460
L1FLI_1p31.1c::chr1:80938220-80946267(-)	406
L1FLI_1p31.1d::chr1:84051363-84059409(-)	413
L1FLI_1q25.1b::chr1:174589336-174597381(-)	411
L1FLI_1q25.3::chr1:180865798-180873845(-)	422
L1FLI_1q31.1a::chr1:187342751-187350797(-)	372
L1FLI_1q31.1b::chr1:187596667-187604713(+)	409
L1FLI_1q32.2::chr1:209912777-209920825(-)	381
L1FLI_1q43::chr1:237018446-237026499(-)	425
L1FLI_1q44::chr1:247686171-247694218(+)	401
L1FLI_20p12.1::chr20:12800002-12808049(-)	415
L1FLI_20p12.3::chr20:7115168-7123202(-)	405
L1FLI_22q12.1::chr22:28662282-28670329(+)	414
L1FLI_22q13.32::chr22:48984748-48992794(-)	398
L1FLI_2p11.2::chr2:86654222-86662271(-)	416
L1FLI_2p24.2::chr2:16592712-16600760(-)	417
L1FLI_2q12.1::chr2:102565341-102573387(-)	432
L1FLI_2q14.3::chr2:128857971-128866018(-)	371
L1FLI_2q24.3a::chr2:165484930-165492977(+)	357
L1FLI_2q24.3b::chr2:166987450-166995506(+)	435
L1FLI_2q31.1a::chr2:173698364-173706412(-)	411
L1FLI_2q31.1b::chr2:175480952-175488998(-)	378
L1FLI_2q33.1::chr2:196904585-196912633(+)	411
